Batch_ID,Chamber_ID,Recipe_ID,Gas_Flow,RF_Power,Etch_Time,Thickness,Defect_Rate,Timestamp
B-5243,CH-B,RCP-ETCH-2,49,322.9,41.8,102.91,2.51,2026/3/3 10:01
B-5244,CH-C,RCP-ETCH-1,47.33,324.2,42.3,102.96,1.95,2026/3/3 11:08
B-5244,CH-C,RCP-ETCH-1,47.33,324.2,42.3,102.96,1.95,2026/3/3 11:08
B-5245,CH-A,RCP-ETCH-2,48.19,323,42,103.03,2.14,2026/3/3 12:15
B-5246,CH-B,RCP-ETCH-1,49.99,317.7,41.2,101.05,2.58,2026/3/3 13:22
B-5247,CH-C,RCP-ETCH-2,49.27,318.2,43.5,100.46,2.61,2026/3/3 14:29
B-5248,CH-A,RCP-ETCH-1,49.49,324.8,41.4,100.55,2.06,2026/3/3 15:36
B-5249,CH-B,RCP-ETCH-2,51.34,326.6,43.8,99.98,2.62,2026/3/3 16:43
B-5250,CH-C,RCP-ETCH-1,49.27,315.4,43.9,102.15,1.71,2026/3/3 07:50
B-5251,CH-A,RCP-ETCH-2,48.02,322.9,40.3,99.74,1.93,03/03/2026 08:57
B-5252,CH-B,RCP-ETCH-1,49.73,330.2,43.6,101.08,3.09,03/03/2026 09:04
B-5253,CH-C,RCP-ETCH-2,48.32,317.1,42.4,99.5,2.54,03/03/2026 10:11
B-5254,CH-A,RCP-ETCH-1,48.74,332.1,43.1,97.4,2.21,03/04/2026 11:18
B-5255,CH-B,RCP-ETCH-2,49.49,330.5,42.8,102.02,3.03,03/04/2026 12:25
B-5256,CH-C,RCP-ETCH-1,47.92,330.1,42.8,99.72,2.64,03/04/2026 13:32
B-5257,CH-A,RCP-ETCH-2,48.11,326.8,43.2,99.12,2.71,03/04/2026 14:39
B-5258,CH-B,RCP-ETCH-1,50.37,327.1,43.2,98.97,2.95,03/04/2026 15:46
B-5259,CH-C,RCP-ETCH-2,47.53,322.5,44.1,98.06,2.51,03/04/2026 16:53
B-5260,CH-A,RCP-ETCH-1,48.13,338.1,42.8,96.8,10.5,03/04/2026 07:00
B-5261,CH-B,RCP-ETCH-2,50.21,334.8,42.8,98.2,3.29,03/04/2026 08:07
B-5262,CH-C,RCP-ETCH-1,48.9,334.3,43.7,96.98,2.48,03/04/2026 09:14
B-5263,CH-A,RCP-ETCH-2,49.39,335.9,42.4,97.48,2.91,03/04/2026 10:21
B-5264,CH-B,RCP-ETCH-1,50.81,327.1,41.2,96.86,3.27,03/04/2026 11:28
B-5265,CH-C,RCP-ETCH-2,46.68,326.8,44.3,98.48,2.98,03/04/2026 12:35
B-5266,cha,RCP-ETCH-1,49.34,330.7,44.5,95,2.97,03/04/2026 13:42
B-5267,CH-B,RCP-ETCH-2,51.28,333.6,45.6,98.29,3.25,03/04/2026 14:49
B-5268,CH-C,RCP-ETCH-1,48.59,326.1,43.1,94.05,3.16,03/04/2026 15:56
B-5269,CH-A,RCP-ETCH-2,49.73,336.4,41.8,92.89,3.27,03/04/2026 16:03
B-5270,CH-B,RCP-ETCH-1,49.93,330.4,44.3,96.71,3.52,03/04/2026 07:10
B-5271,CH-C,RCP-ETCH-2,49.41,332.5,43.9,96.4,3.32,03/04/2026 08:17
