Batch_ID,Chamber_ID,Recipe_ID,Gas_Flow,RF_Power,Etch_Time,Thickness,Defect_Rate,Timestamp
B-5236,CH-A,RCP-ETCH-2,48.34,320,40.9,102.32,1.43,2026/3/3 13:12
B-5237,CH-B,RCP-ETCH-1,49.33,326.9,41.6,105.24,1.78,2026/3/3 14:19
B-5238,CH-C,RCP-ETCH-2,46.29,321.1,43.8,105.76,1.43,2026/3/3 15:26
B-5239,CH-A,RCP-ETCH-1,47.51,315,41.7,102.48,1.47,2026/3/3 16:33
B-5240,CH-B,RCP-ETCH-2,49.39,329.4,41.7,101.5,2.27,2026/3/3 07:40
B-5241,CH-C,RCP-ETCH-1,47.39,317,41.4,103.39,1.7,2026/3/3 08:47
B-5242,CH-A,RCP-ETCH-2,47.23,323.4,43.5,101.89,1.81,2026/3/3 09:54
B-5243,CH-B,RCP-ETCH-1,49.23,330.3,42.4,104.36,2.02,2026/3/3 10:01
B-5244,CH-C,RCP-ETCH-2,46.81,314.6,41.5,102.68,1.98,2026/3/3 11:08
B-5244,CH-C,RCP-ETCH-2,46.81,314.6,41.5,102.68,1.98,2026/3/3 11:08
B-5245,CH-A,RCP-ETCH-1,47.79,322.1,43.6,99.72,2.14,2026/3/3 12:15
B-5246,CH-B,RCP-ETCH-2,50.44,329.6,41.5,103.02,2.47,2026/3/3 13:22
B-5247,CH-C,RCP-ETCH-1,46.4,320.2,43.5,102.65,2.11,2026/3/3 14:29
B-5248,CH-A,RCP-ETCH-2,49.7,318.7,42.6,104.14,2.68,2026/3/3 15:36
B-5249,CH-B,RCP-ETCH-1,48.29,322.6,39.7,101.81,2.74,2026/3/3 16:43
B-5250,CH-C,RCP-ETCH-2,46.59,327.3,44,98.12,2.86,2026/3/3 07:50
B-5251,CH-A,RCP-ETCH-1,48.04,318.5,43.7,100.96,2.6,03/03/2026 08:57
B-5252,CH-B,RCP-ETCH-2,49.26,327.1,43.1,100.34,2.86,03/03/2026 09:04
B-5253,CH-C,RCP-ETCH-1,49.32,323.7,43,97.85,2.53,03/03/2026 10:11
B-5254,CH-A,RCP-ETCH-2,49.1,319.8,44.2,96.6,2.58,03/04/2026 11:18
B-5255,CH-B,RCP-ETCH-1,50.27,334.1,43.4,100.56,2.96,03/04/2026 12:25
B-5256,CH-C,RCP-ETCH-2,47.9,323.7,43.3,98.3,2.91,03/04/2026 13:32
B-5257,CH-A,RCP-ETCH-1,46.12,323.7,42.7,98.96,2.78,03/04/2026 14:39
B-5258,CH-B,RCP-ETCH-2,49.73,331.4,43.4,98.71,3.15,03/04/2026 15:46
B-5259,CH-C,RCP-ETCH-1,48.22,324,47.1,97.43,3.2,03/04/2026 16:53
B-5260,CH-A,RCP-ETCH-2,48.67,336,44.8,97.07,11.5,03/04/2026 07:00
B-5261,CH-B,RCP-ETCH-1,49.46,333.8,42.7,96.23,3.37,03/04/2026 08:07
B-5262,CH-C,RCP-ETCH-2,48.73,327.1,44.9,93.97,3.12,03/04/2026 09:14
B-5263,CH-A,RCP-ETCH-1,49.84,327,40.5,95.32,3.41,03/04/2026 10:21
B-5264,CH-B,RCP-ETCH-2,50.55,325.2,41.2,97.83,3.74,03/04/2026 11:28
B-5265,CH-C,RCP-ETCH-1,49.44,329.2,43,96.72,3.31,03/04/2026 12:35
B-5266,cha,RCP-ETCH-2,49.21,320.1,45,94.69,3.44,03/04/2026 13:42
B-5267,CH-B,RCP-ETCH-1,49.63,343.1,42,94.06,3.54,03/04/2026 14:49
B-5268,CH-C,RCP-ETCH-2,50.02,324,46.1,93.05,3.55,03/04/2026 15:56
B-5269,CH-A,RCP-ETCH-1,50.59,336.3,42.7,94.85,3.51,03/04/2026 16:03
B-5270,CH-B,RCP-ETCH-2,50.24,341.8,43.6,97.38,4.1,03/04/2026 07:10
B-5271,CH-C,RCP-ETCH-1,49.46,325,45.1,92.45,3.62,03/04/2026 08:17
