Inspection_ID,Lot_ID,Product_Type,Inspection_Tool,Line_Width,Overlay_Error,Particle_Count,Pass_Fail,Review_Time,Timestamp
I-7023,LOT-2507,Sensor-C,INS-01,41.23,1.76,13,PASS,24.7,2026/3/2 15:27
I-7024,LOT-2508,Logic-A,INS-02,37.92,2.86,17,PASS,19.3,2026/3/2 08:36
I-7025,LOT-2508,Memory-B,INS-03,39.7,1.85,10,PASS,17.2,2026/3/2 09:45
I-7026,LOT-2508,Sensor-C,ins-01,41.05,1.88,12,PASS,15.3,2026/3/2 10:54
I-7027,LOT-2509,Logic-A,INS-02,38.73,1.78,9,PASS,17.9,2026/3/2 11:03
I-7028,LOT-2509,Memory-B,INS-03,manual_check,2.66,13,PASS,17.1,2026/3/2 12:12
I-7029,LOT-2509,Sensor-C,INS-01,40.84,1.91,18,PASS,17.2,2026/3/2 13:21
I-7030,LOT-2510,Logic-A,INS-02,37.76,1.74,13,PASS,22.7,2026/3/2 14:30
I-7031,LOT-2510,Memory-B,INS-03,40.54,2.41,17,PASS,19,2026/3/2 15:39
I-7032,LOT-2510,Sensor-C,INS-01,40.86,2.59,14,PASS,13.5,2026/3/3 08:48
I-7033,LOT-2511,Logic-A,INS-02,37.86,1.84,11,PASS,20.3,2026/3/3 09:57
I-7034,LOT-2511,Memory-B,INS-03,39.12,2.25,11,PASS,16,2026/3/3 10:06
I-7035,LOT-2511,Sensor-C,INS-01,40.82,1.62,13,PASS,14.2,2026/3/3 11:15
I-7036,LOT-2512,Logic-A,INS-02,38.23,1.41,10,PASS,20.5,2026/3/3 12:24
I-7037,LOT-2512,Memory-B,INS-03,38.68,1.96,11,PASS,16.5,2026/3/3 13:33
I-7038,LOT-2512,Sensor-C,INS-01,40.15,1.6,15,PASS,19.4,2026/3/3 14:42
I-7039,LOT-2513,Logic-A,ins-02,37.62,2.31,14,PASS,18.3,2026/3/3 15:51
I-7039,LOT-2513,Logic-A,ins-02,37.62,2.31,14,PASS,18.3,2026/3/3 15:51
I-7040,LOT-2513,Memory-B,INS-03,39.26,1.81,12,PASS,15.8,2026/3/3 08:00
I-7041,LOT-2513,Sensor-C,INS-01,40.87,1.38,11,PASS,22.6,2026/3/3 09:09
I-7042,LOT-2514,Logic-A,INS-02,38.09,1.68,6,PASS,18.8,2026/3/3 10:18
I-7043,LOT-2514,Memory-B,INS-03,39.17,2.36,10,PASS,17.9,2026/3/3 11:27
I-7044,LOT-2514,Sensor-C,INS-01,40.52,2.4,12,PASS,18.3,2026/3/3 12:36
I-7045,LOT-2515,Logic-A,INS-02,38.09,2.85,16,PASS,16.8,2026/3/3 13:45
I-7046,LOT-2515,Memory-B,INS-03,39.3,2,10,PASS,19.3,2026/3/3 14:54
I-7047,LOT-2515,Sensor-C,INS-01,40.72,2.74,17,PASS,17.4,2026/3/3 15:03
I-7048,LOT-2516,Logic-A,INS-02,38.4,2.46,15,PASS,14.8,2026/3/4 08:12
I-7049,LOT-2516,Memory-B,INS-03,38.93,2.41,14,PASS,18.9,03/04/2026 09:21
I-7050,LOT-2516,Sensor-C,INS-01,40.82,1.7,15,PASS,16.2,03/04/2026 10:30
I-7051,LOT-2517,Logic-A,INS-02,38.41,3.7,16,PASS,23.5,03/04/2026 11:39
I-7052,LOT-2517,Memory-B,ins-03,39.32,1.61,11,PASS,13.6,03/04/2026 12:48
I-7053,LOT-2517,Sensor-C,INS-01,41.39,2.57,18,PASS,15.2,03/04/2026 13:57
I-7054,LOT-2518,Logic-A,INS-02,38.17,2.65,67,PASS,18.4,03/04/2026 14:06
I-7055,LOT-2518,Memory-B,INS-03,39.52,2.85,14,fail,14.9,03/04/2026 15:15
I-7056,LOT-2518,Sensor-C,INS-01,40.36,2.58,17,PASS,22.4,03/04/2026 08:24
I-7057,LOT-2519,Logic-A,INS-02,38.66,2.17,15,PASS,16.1,03/04/2026 09:33
I-7058,LOT-2519,Memory-B,INS-03,39.31,2.71,19,PASS,19,03/04/2026 10:42
I-7059,LOT-2519,Sensor-C,INS-01,40.68,1.6,10,PASS,16.3,03/04/2026 11:51
I-7060,LOT-2520,Logic-A,INS-02,38.52,3.65,16,PASS,19.4,03/04/2026 12:00
I-7061,LOT-2520,Memory-B,INS-03,40.02,2.2,16,PASS,13.4,03/04/2026 13:09
I-7062,LOT-2520,Sensor-C,INS-01,40.78,1.37,14,PASS,17,03/04/2026 14:18
I-7063,LOT-2521,Logic-A,INS-02,38.67,3.25,13,PASS,18.3,03/04/2026 15:27
I-7064,LOT-2521,Memory-B,INS-03,40.24,1.52,12,PASS,13.4,03/05/2026 08:36
I-7065,LOT-2521,Sensor-C,ins-01,41.47,1.47,16,PASS,19.5,03/05/2026 09:45
