Inspection_ID,Lot_ID,Product_Type,Inspection_Tool,Line_Width,Overlay_Error,Particle_Count,Pass_Fail,Review_Time,Timestamp
I-7043,LOT-2514,Memory-B,INS-01,40.08,1.07,10,PASS,17.1,2026/3/3 11:27
I-7044,LOT-2514,Sensor-C,INS-02,40.88,3.46,18,PASS,11.5,2026/3/3 12:36
I-7045,LOT-2515,Logic-A,INS-03,37.01,2.68,14,PASS,14.4,2026/3/3 13:45
I-7046,LOT-2515,Memory-B,INS-01,39.27,2.67,13,PASS,13.5,2026/3/3 14:54
I-7047,LOT-2515,Sensor-C,INS-02,41.55,3.15,16,PASS,21.9,2026/3/3 15:03
I-7048,LOT-2516,Logic-A,INS-03,38.3,2.13,15,PASS,14.5,2026/3/4 08:12
I-7049,LOT-2516,Memory-B,INS-01,40.07,2.42,10,PASS,17.4,03/04/2026 09:21
I-7050,LOT-2516,Sensor-C,INS-02,40.83,3.15,13,PASS,18.6,03/04/2026 10:30
I-7051,LOT-2517,Logic-A,INS-03,36.78,1.87,13,PASS,18.3,03/04/2026 11:39
I-7052,LOT-2517,Memory-B,ins-01,39.32,2.54,14,PASS,15.9,03/04/2026 12:48
I-7053,LOT-2517,Sensor-C,INS-02,41.02,2.58,20,PASS,19.3,03/04/2026 13:57
I-7054,LOT-2518,Logic-A,INS-03,38.12,2.13,70,PASS,17.9,03/04/2026 14:06
I-7055,LOT-2518,Memory-B,INS-01,39.93,1.29,11,fail,14.1,03/04/2026 15:15
I-7056,LOT-2518,Sensor-C,INS-02,41.24,3.7,13,PASS,17.1,03/04/2026 08:24
I-7057,LOT-2519,Logic-A,INS-03,37.95,2.52,11,PASS,17,03/04/2026 09:33
I-7058,LOT-2519,Memory-B,INS-01,39.78,2.24,15,PASS,15.5,03/04/2026 10:42
I-7059,LOT-2519,Sensor-C,INS-02,41.85,2.84,15,PASS,20.3,03/04/2026 11:51
I-7060,LOT-2520,Logic-A,INS-03,38.38,2.52,12,PASS,14.5,03/04/2026 12:00
I-7061,LOT-2520,Memory-B,INS-01,39.19,2.02,14,PASS,18.9,03/04/2026 13:09
I-7062,LOT-2520,Sensor-C,INS-02,42.07,3.51,12,PASS,20.8,03/04/2026 14:18
I-7063,LOT-2521,Logic-A,INS-03,38.32,2.25,14,PASS,13,03/04/2026 15:27
I-7064,LOT-2521,Memory-B,INS-01,39.95,2.33,13,PASS,16.1,03/05/2026 08:36
I-7065,LOT-2521,Sensor-C,ins-02,41.8,3.76,17,PASS,19.6,03/05/2026 09:45
